texto,materia
A altitude das montanhas influencia a temperatura e o clima da região.,geografia
As regiões próximas ao equador recebem mais radiação solar durante o ano.,geografia
O desmatamento da Amazônia afeta o regime de chuvas na América do Sul.,geografia
As correntes marítimas modificam a temperatura das águas costeiras.,geografia
A urbanização altera o uso do solo e impacta os ecossistemas locais.,geografia
A erosão costeira ameaça vilarejos próximos à praia.,geografia
O relevo acidentado dificulta a construção de estradas.,geografia
A cobertura vegetal reduz a erosão e regula o ciclo da água.,geografia
As ilhas oceânicas têm fauna e flora específicas devido ao isolamento.,geografia
A distribuição populacional é influenciada pelo clima e recursos naturais.,geografia
As normas sociais definem o comportamento aceitável em uma comunidade.,sociologia
"A cultura influencia valores, crenças e hábitos de uma sociedade.",sociologia
A desigualdade econômica afeta o acesso à educação e saúde.,sociologia
As redes sociais mudaram a forma de interação entre jovens.,sociologia
O trabalho coletivo é essencial para a coesão social.,sociologia
A urbanização provoca mudanças nos laços comunitários.,sociologia
A migração impacta a composição demográfica das cidades.,sociologia
O preconceito limita oportunidades para determinados grupos.,sociologia
A socialização ocorre desde a infância e molda a personalidade.,sociologia
As instituições sociais regulam conflitos e promovem ordem.,sociologia
"O personagem caminhava silencioso pela rua deserta, refletindo sobre sua vida.",portugues
O narrador descreve com detalhes os sentimentos de cada personagem.,portugues
O poema utiliza metáforas para transmitir emoções profundas.,portugues
A crônica relata acontecimentos cotidianos de forma leve e reflexiva.,portugues
A linguagem literária enriquece a interpretação do texto.,portugues
A fábula transmite uma lição moral por meio de animais falantes.,portugues
"O conto apresenta conflito, clímax e desfecho de forma concisa.",portugues
O romance desenvolve relações complexas entre personagens.,portugues
O diálogo revela características e intenções dos personagens.,portugues
"O texto poético explora ritmo, rima e sonoridade.",portugues
Resolver equações de primeiro grau é fundamental para álgebra.,matematica
O teorema de Pitágoras relaciona os lados de um triângulo retângulo.,matematica
A função quadrática possui um ponto de máximo ou mínimo.,matematica
O cálculo de porcentagens é utilizado em finanças e economia.,matematica
Os gráficos ajudam a interpretar relações entre variáveis.,matematica
A média aritmética indica o valor central de um conjunto de dados.,matematica
Equações lineares descrevem relações proporcionais.,matematica
O estudo de probabilidade auxilia em decisões incertas.,matematica
As equações do segundo grau podem ter duas soluções reais.,matematica
A geometria analítica relaciona álgebra e coordenadas no plano.,matematica
A água é um solvente universal essencial para a vida.,quimica
"A reação ácido-base forma sal e água, equilibrando o pH.",quimica
A combustão libera energia e produz dióxido de carbono e água.,quimica
O átomo é a menor unidade de um elemento químico.,quimica
A tabela periódica organiza os elementos por propriedades.,quimica
As ligações covalentes compartilham elétrons entre átomos.,quimica
As reações de oxidação envolvem perda de elétrons.,quimica
O calor pode acelerar ou retardar uma reação química.,quimica
As soluções podem ser homogêneas ou heterogêneas.,quimica
O carbono forma diversas estruturas orgânicas complexas.,quimica
Ela tomou café e saiu para caminhar no parque durante a manhã.,normal
O cachorro brincava alegremente no quintal da casa.,normal
"A família preparou o jantar juntos, conversando e rindo.",normal
Ele foi ao mercado comprar frutas e legumes frescos.,normal
"O dia estava ensolarado, perfeito para atividades ao ar livre.",normal
Ela organizou o quarto e colocou livros nas prateleiras.,normal
O vizinho regava as plantas do jardim pela manhã.,normal
As crianças desenhavam e pintavam no centro comunitário.,normal
O carro estava estacionado na rua em frente à casa.,normal
Ele assistiu a um filme e depois leu um livro no sofá.,normal
"O aquecimento global altera padrões de clima em todo o planeta.", geografia
"O texto jornalístico objetiva informar com objetividade.", portugues
"As ligações iônicas formam cristais sólidos estáveis.", quimica
"Ele saiu para correr no parque ao amanhecer.", normal
